condition,seed,target,distance
mutation_only,0,target_00,12.0
mutation_only,0,target_01,12.0
mutation_only,0,target_02,11.5
mutation_only,0,target_03,11.5
mutation_only,0,target_04,13.0
mutation_only,1,target_00,10.0
mutation_only,1,target_01,11.5
mutation_only,1,target_02,12.0
mutation_only,1,target_03,12.5
mutation_only,1,target_04,13.5
mutation_only,2,target_00,9.5
mutation_only,2,target_01,10.5
mutation_only,2,target_02,9.5
mutation_only,2,target_03,12.0
mutation_only,2,target_04,15.5
mutation_only,3,target_00,10.5
mutation_only,3,target_01,10.0
mutation_only,3,target_02,11.5
mutation_only,3,target_03,13.0
mutation_only,3,target_04,13.5
mutation_only,4,target_00,11.0
mutation_only,4,target_01,12.5
mutation_only,4,target_02,11.5
mutation_only,4,target_03,13.5
mutation_only,4,target_04,13.5
mutation_crossover,0,target_00,10.5
mutation_crossover,0,target_01,12.0
mutation_crossover,0,target_02,13.0
mutation_crossover,0,target_03,11.5
mutation_crossover,0,target_04,13.5
mutation_crossover,1,target_00,11.5
mutation_crossover,1,target_01,12.5
mutation_crossover,1,target_02,11.5
mutation_crossover,1,target_03,11.5
mutation_crossover,1,target_04,13.5
mutation_crossover,2,target_00,10.0
mutation_crossover,2,target_01,10.5
mutation_crossover,2,target_02,8.5
mutation_crossover,2,target_03,12.5
mutation_crossover,2,target_04,15.0
mutation_crossover,3,target_00,11.0
mutation_crossover,3,target_01,12.5
mutation_crossover,3,target_02,11.5
mutation_crossover,3,target_03,12.0
mutation_crossover,3,target_04,14.0
mutation_crossover,4,target_00,10.5
mutation_crossover,4,target_01,11.0
mutation_crossover,4,target_02,8.5
mutation_crossover,4,target_03,13.0
mutation_crossover,4,target_04,14.5
random_search,0,target_00,16.0
random_search,0,target_01,16.5
random_search,0,target_02,15.5
random_search,0,target_03,17.0
random_search,0,target_04,15.5
random_search,1,target_00,16.0
random_search,1,target_01,16.5
random_search,1,target_02,15.5
random_search,1,target_03,17.5
random_search,1,target_04,16.0
random_search,2,target_00,16.0
random_search,2,target_01,15.5
random_search,2,target_02,15.5
random_search,2,target_03,17.0
random_search,2,target_04,17.5
random_search,3,target_00,16.5
random_search,3,target_01,16.0
random_search,3,target_02,15.5
random_search,3,target_03,17.5
random_search,3,target_04,17.0
random_search,4,target_00,17.5
random_search,4,target_01,16.0
random_search,4,target_02,17.0
random_search,4,target_03,17.0
random_search,4,target_04,16.5
