condition,seed,generation,cumulative_evals,mean_module_count,std_module_count
mutation_only,0,0,100,21.0,0.0
mutation_only,0,1,200,19.52,3.1542986542177642
mutation_only,0,2,300,15.92,4.738522976624678
mutation_only,0,3,400,12.18,4.336772993828476
mutation_only,0,4,500,10.52,3.6646418651759136
mutation_only,0,5,600,9.75,2.725344014982329
mutation_only,0,6,700,10.22,2.3090257685872624
mutation_only,0,7,800,10.43,2.2682812876713503
mutation_only,0,8,900,11.1,1.9313207915827968
mutation_only,0,9,1000,11.3,2.118962010041709
mutation_only,0,10,1100,11.11,1.7826665420094696
mutation_only,0,11,1200,10.94,1.978989641205835
mutation_only,0,12,1300,11.07,1.8987100884547907
mutation_only,0,13,1400,10.92,1.8367362358270172
mutation_only,0,14,1500,11.2,1.6792855623746665
mutation_only,0,15,1600,11.21,1.5830034744118535
mutation_only,0,16,1700,11.22,1.3753544997563356
mutation_only,0,17,1800,11.04,1.865046916299963
mutation_only,0,18,1900,10.92,1.8258148865643526
mutation_only,0,19,2000,11.26,1.6829735589129144
mutation_only,0,20,2100,11.28,1.5171025014810304
mutation_only,0,21,2200,11.22,1.5071828024496563
mutation_only,0,22,2300,11.26,1.706575518399347
mutation_only,0,23,2400,11.46,1.5774663229368797
mutation_only,0,24,2500,11.45,1.525614630239236
mutation_only,0,25,2600,11.62,1.4681961721786365
mutation_only,0,26,2700,11.59,1.4771255870778222
mutation_only,0,27,2800,11.93,1.1336225121265013
mutation_only,0,28,2900,11.51,1.4247455913249916
mutation_only,0,29,3000,11.31,1.6774683305505351
mutation_only,0,30,3100,11.33,1.3494813818648999
mutation_only,0,31,3200,11.32,1.4413882197381798
mutation_only,0,32,3300,11.26,1.5596153371905521
mutation_only,0,33,3400,11.13,1.7925122035846783
mutation_only,0,34,3500,11.67,1.371531990148243
mutation_only,0,35,3600,11.69,1.5012994371543606
mutation_only,0,36,3700,11.83,1.2653458025377884
mutation_only,0,37,3800,11.52,1.5522886329545804
mutation_only,0,38,3900,11.82,1.1435033887138244
mutation_only,0,39,4000,11.57,1.557273257973693
mutation_only,0,40,4100,11.62,1.5477725931156683
mutation_only,0,41,4200,11.57,1.745021489839022
mutation_only,0,42,4300,11.37,1.5274488534808621
mutation_only,0,43,4400,11.37,1.5726092966786123
mutation_only,0,44,4500,11.85,1.1947803145348523
mutation_only,0,45,4600,11.84,1.2059850745345069
mutation_only,0,46,4700,11.9,1.2767145334803705
mutation_only,0,47,4800,11.49,1.5715915499900095
mutation_only,0,48,4900,11.83,1.5103310895297097
mutation_only,0,49,5000,11.63,1.5915715503865984
mutation_only,0,50,5100,11.9,1.5198684153570665
mutation_only,1,0,100,21.0,0.0
mutation_only,1,1,200,19.87,3.074589403481382
mutation_only,1,2,300,16.79,4.864761042435692
mutation_only,1,3,400,12.41,4.74150819887512
mutation_only,1,4,500,10.33,3.577862490370472
mutation_only,1,5,600,9.42,2.9263629303283625
mutation_only,1,6,700,9.44,2.6241951146970757
mutation_only,1,7,800,9.48,2.299913041834408
mutation_only,1,8,900,9.64,2.2159422375143265
mutation_only,1,9,1000,9.57,2.006265186858407
mutation_only,1,10,1100,9.72,2.1075103795711185
mutation_only,1,11,1200,9.85,2.021756661915573
mutation_only,1,12,1300,9.59,2.0004749436071427
mutation_only,1,13,1400,10.04,1.8650469162999626
mutation_only,1,14,1500,10.09,1.800527700425628
mutation_only,1,15,1600,10.03,2.1375453211569573
mutation_only,1,16,1700,10.32,1.6726027621644055
mutation_only,1,17,1800,10.13,2.21203526192509
mutation_only,1,18,1900,10.31,1.5855283031217071
mutation_only,1,19,2000,10.32,1.708098357823694
mutation_only,1,20,2100,10.41,1.8226080214900842
mutation_only,1,21,2200,10.48,1.6761861471805573
mutation_only,1,22,2300,10.15,1.80208212909401
mutation_only,1,23,2400,10.14,1.7321662737739703
mutation_only,1,24,2500,9.85,1.699264546796643
mutation_only,1,25,2600,9.75,1.7571283390805579
mutation_only,1,26,2700,9.94,1.6298466185503468
mutation_only,1,27,2800,9.84,1.7760630619434659
mutation_only,1,28,2900,10.0,1.8
mutation_only,1,29,3000,9.66,2.178164364780583
mutation_only,1,30,3100,9.95,1.9968725547715858
mutation_only,1,31,3200,9.72,1.8170305445974206
mutation_only,1,32,3300,9.91,1.5943337166352594
mutation_only,1,33,3400,9.99,1.7578111388883617
mutation_only,1,34,3500,9.86,1.6794046564184586
mutation_only,1,35,3600,10.06,1.3915459029439166
mutation_only,1,36,3700,9.66,1.5698407562552326
mutation_only,1,37,3800,9.66,1.4298251641372104
mutation_only,1,38,3900,9.73,1.448136733875638
mutation_only,1,39,4000,9.62,1.7249927536079679
mutation_only,1,40,4100,9.56,1.8456435192094922
mutation_only,1,41,4200,9.82,1.499199786552813
mutation_only,1,42,4300,9.75,1.7342145196024625
mutation_only,1,43,4400,9.54,1.8730723424363513
mutation_only,1,44,4500,9.68,1.7485994395515514
mutation_only,1,45,4600,9.69,1.635206408989397
mutation_only,1,46,4700,9.98,1.7261517893858582
mutation_only,1,47,4800,10.4,1.5937377450509227
mutation_only,1,48,4900,10.28,1.7440183485273313
mutation_only,1,49,5000,9.99,1.9156983061014592
mutation_only,1,50,5100,10.27,1.4889929482707434
mutation_only,2,0,100,21.0,0.0
mutation_only,2,1,200,19.14,3.283351945801729
mutation_only,2,2,300,15.92,4.795164230764156
mutation_only,2,3,400,12.02,4.199952380682429
mutation_only,2,4,500,10.18,2.944078803293145
mutation_only,2,5,600,9.33,2.7204962782551276
mutation_only,2,6,700,8.79,2.2816441440329824
mutation_only,2,7,800,9.12,2.337862271392393
mutation_only,2,8,900,9.7,2.179449471770337
mutation_only,2,9,1000,9.67,1.9134001149785687
mutation_only,2,10,1100,9.8,1.9390719429665315
mutation_only,2,11,1200,10.17,1.990251240421671
mutation_only,2,12,1300,10.13,1.507680337472105
mutation_only,2,13,1400,9.91,1.5498064395272073
mutation_only,2,14,1500,9.79,1.518519015356739
mutation_only,2,15,1600,9.74,1.4115239990875112
mutation_only,2,16,1700,9.55,1.5321553446044565
mutation_only,2,17,1800,9.99,1.417709420156331
mutation_only,2,18,1900,9.68,1.8048822676285565
mutation_only,2,19,2000,9.81,1.7128631001921897
mutation_only,2,20,2100,9.65,1.8674849396983098
mutation_only,2,21,2200,10.1,1.6217274740226855
mutation_only,2,22,2300,9.83,1.6855562879951531
mutation_only,2,23,2400,9.58,1.3869390758068647
mutation_only,2,24,2500,9.52,1.389100428334827
mutation_only,2,25,2600,9.72,1.3934130758680285
mutation_only,2,26,2700,9.66,1.2101239605924679
mutation_only,2,27,2800,9.6,1.3341664064126335
mutation_only,2,28,2900,9.51,1.228779882647824
mutation_only,2,29,3000,9.41,1.3198105924715107
mutation_only,2,30,3100,9.39,1.0853110153315502
mutation_only,2,31,3200,9.43,1.2430205147140574
mutation_only,2,32,3300,9.23,1.2235603785674005
mutation_only,2,33,3400,9.25,1.329473580030833
mutation_only,2,34,3500,9.5,1.3379088160259651
mutation_only,2,35,3600,9.55,1.3219304066402287
mutation_only,2,36,3700,9.52,1.1356055653262713
mutation_only,2,37,3800,9.44,1.3734627770711518
mutation_only,2,38,3900,9.58,1.250439922587247
mutation_only,2,39,4000,9.46,1.2199999999999998
mutation_only,2,40,4100,9.23,1.4342593907658405
mutation_only,2,41,4200,9.31,1.440104162899337
mutation_only,2,42,4300,9.53,1.284172885557081
mutation_only,2,43,4400,9.56,1.4022838514366485
mutation_only,2,44,4500,9.63,1.3539202339872167
mutation_only,2,45,4600,10.04,1.5422062118925604
mutation_only,2,46,4700,10.04,1.2642784503423286
mutation_only,2,47,4800,10.17,1.3195074838741914
mutation_only,2,48,4900,10.12,1.343726162579266
mutation_only,2,49,5000,10.06,1.3402984742213209
mutation_only,2,50,5100,9.95,1.5058220346375597
mutation_only,3,0,100,21.0,0.0
mutation_only,3,1,200,19.82,3.16979494604935
mutation_only,3,2,300,16.11,6.033067213283804
mutation_only,3,3,400,10.89,5.268576657883987
mutation_only,3,4,500,9.87,3.7832657850063884
mutation_only,3,5,600,11.07,3.522087449226666
mutation_only,3,6,700,10.88,3.128194367362745
mutation_only,3,7,800,10.49,2.951253970772424
mutation_only,3,8,900,10.01,2.9240212037534885
mutation_only,3,9,1000,10.55,2.511473670974872
mutation_only,3,10,1100,10.45,1.8887826767524105
mutation_only,3,11,1200,10.52,1.9973983077994235
mutation_only,3,12,1300,10.9,1.9416487838947598
mutation_only,3,13,1400,11.19,2.129295658193103
mutation_only,3,14,1500,11.15,2.0266968199511246
mutation_only,3,15,1600,11.19,1.8258970398135816
mutation_only,3,16,1700,11.04,1.6906803364326446
mutation_only,3,17,1800,10.8,1.9849433241279206
mutation_only,3,18,1900,10.85,1.7284386017443605
mutation_only,3,19,2000,10.4,1.6911534525287766
mutation_only,3,20,2100,10.65,1.6515144564913744
mutation_only,3,21,2200,10.62,1.7932094133145744
mutation_only,3,22,2300,10.9,1.6583123951777
mutation_only,3,23,2400,10.71,1.6928969253915018
mutation_only,3,24,2500,10.91,1.9549680304291424
mutation_only,3,25,2600,11.34,2.1034257771549725
mutation_only,3,26,2700,11.03,2.0122375605280802
mutation_only,3,27,2800,11.26,2.1523010941780427
mutation_only,3,28,2900,11.28,2.23194982022446
mutation_only,3,29,3000,11.03,2.1608100332976985
mutation_only,3,30,3100,10.96,1.8810635289643993
mutation_only,3,31,3200,11.37,1.55983973535745
mutation_only,3,32,3300,11.1,1.91049731745428
mutation_only,3,33,3400,10.94,1.798999722067794
mutation_only,3,34,3500,10.61,1.9743100060527476
mutation_only,3,35,3600,10.94,1.66024094636893
mutation_only,3,36,3700,11.0,2.0248456731316584
mutation_only,3,37,3800,11.43,1.6748432762500498
mutation_only,3,38,3900,10.65,1.9150718002205558
mutation_only,3,39,4000,11.08,1.8956792977716457
mutation_only,3,40,4100,11.12,2.1273457640919586
mutation_only,3,41,4200,11.11,1.8702673605663975
mutation_only,3,42,4300,10.77,1.9892460883460346
mutation_only,3,43,4400,10.5,2.0518284528683193
mutation_only,3,44,4500,10.71,1.9813884021059576
mutation_only,3,45,4600,10.61,1.8915337691936671
mutation_only,3,46,4700,10.75,1.7571283390805579
mutation_only,3,47,4800,11.26,1.786728854639114
mutation_only,3,48,4900,11.13,1.7415797426474622
mutation_only,3,49,5000,11.05,1.8674849396983095
mutation_only,3,50,5100,10.96,1.8434749794884662
mutation_only,4,0,100,21.0,0.0
mutation_only,4,1,200,19.64,2.8408449447303528
mutation_only,4,2,300,16.75,4.472974401894113
mutation_only,4,3,400,12.4,4.669047011971501
mutation_only,4,4,500,10.44,3.6119800663901787
mutation_only,4,5,600,9.99,2.8372345690830714
mutation_only,4,6,700,10.36,2.879305471810867
mutation_only,4,7,800,10.34,2.775680096841133
mutation_only,4,8,900,10.49,2.4959767627123455
mutation_only,4,9,1000,10.8,2.1908902300206643
mutation_only,4,10,1100,10.84,2.091506633984219
mutation_only,4,11,1200,10.45,2.094636006565341
mutation_only,4,12,1300,10.18,1.9868568141665368
mutation_only,4,13,1400,9.85,1.9968725547715858
mutation_only,4,14,1500,9.97,1.8190931806809678
mutation_only,4,15,1600,9.75,1.8186533479473213
mutation_only,4,16,1700,10.06,1.6959952830123084
mutation_only,4,17,1800,10.02,1.6551737068960466
mutation_only,4,18,1900,10.01,1.6643016553497747
mutation_only,4,19,2000,10.08,1.8797872220014689
mutation_only,4,20,2100,10.23,1.771186043305446
mutation_only,4,21,2200,10.08,1.8475930287809594
mutation_only,4,22,2300,10.57,1.9403865594257241
mutation_only,4,23,2400,10.43,1.795856341693288
mutation_only,4,24,2500,10.67,1.5430813329180026
mutation_only,4,25,2600,10.57,1.4916769087171657
mutation_only,4,26,2700,10.39,1.8968131167829898
mutation_only,4,27,2800,10.59,1.6917151060388387
mutation_only,4,28,2900,10.17,1.568789342136158
mutation_only,4,29,3000,9.7,1.7175564037317668
mutation_only,4,30,3100,9.82,1.4722771478223793
mutation_only,4,31,3200,9.59,1.5368474224853943
mutation_only,4,32,3300,9.7,1.2041594578792296
mutation_only,4,33,3400,9.52,1.3891004283348272
mutation_only,4,34,3500,9.66,1.3507035203922435
mutation_only,4,35,3600,9.83,1.3932336487466845
mutation_only,4,36,3700,10.16,1.3169662106523465
mutation_only,4,37,3800,10.23,1.495693818934878
mutation_only,4,38,3900,10.36,1.315446692192428
mutation_only,4,39,4000,10.52,1.322724461102916
mutation_only,4,40,4100,10.63,1.474143819306651
mutation_only,4,41,4200,10.9,1.6822603841260724
mutation_only,4,42,4300,10.76,1.8282231811242304
mutation_only,4,43,4400,10.44,1.512084653714864
mutation_only,4,44,4500,10.4,1.5427248620541514
mutation_only,4,45,4600,10.35,1.7571283390805579
mutation_only,4,46,4700,10.62,1.730780170905595
mutation_only,4,47,4800,10.7,1.5652475842498528
mutation_only,4,48,4900,10.73,1.3553966209195003
mutation_only,4,49,5000,10.27,1.6239150224072687
mutation_only,4,50,5100,10.22,1.4531345429794171
mutation_crossover,0,0,100,21.0,0.0
mutation_crossover,0,1,200,19.79,4.887320329178353
mutation_crossover,0,2,300,14.34,5.571750173868171
mutation_crossover,0,3,400,10.72,4.3268464266715085
mutation_crossover,0,4,500,9.79,3.496555447865799
mutation_crossover,0,5,600,10.05,2.6433879775772606
mutation_crossover,0,6,700,10.33,2.807329692073947
mutation_crossover,0,7,800,10.67,2.800196421681879
mutation_crossover,0,8,900,11.02,3.1495396489010896
mutation_crossover,0,9,1000,10.32,2.679104327942456
mutation_crossover,0,10,1100,10.43,2.878384963829543
mutation_crossover,0,11,1200,10.28,3.079220680626837
mutation_crossover,0,12,1300,10.43,3.2442410514633466
mutation_crossover,0,13,1400,10.45,2.7363296585024255
mutation_crossover,0,14,1500,10.5,2.6286878856189833
mutation_crossover,0,15,1600,11.05,3.0376800358168072
mutation_crossover,0,16,1700,10.54,2.5977682729604656
mutation_crossover,0,17,1800,10.63,2.7772468381474487
mutation_crossover,0,18,1900,10.61,2.591891201420306
mutation_crossover,0,19,2000,10.12,2.7176460402340843
