condition,seed,evals_to_reach_13.168
dynamic_constant,30,2300
dynamic_constant,31,2200
dynamic_constant,32,3000
dynamic_constant,33,
dynamic_constant,34,
dynamic_constant,35,2900
dynamic_constant,36,3700
dynamic_constant,37,4100
dynamic_constant,38,3500
dynamic_constant,39,1300
dynamic_constant,40,3900
dynamic_constant,41,2400
dynamic_constant,42,10000
dynamic_constant,43,3100
dynamic_constant,44,2300
dynamic_constant,45,5300
dynamic_constant,46,2200
dynamic_constant,47,1100
dynamic_constant,48,3000
dynamic_constant,49,3200
dynamic_exponential,30,3200
dynamic_exponential,31,1600
dynamic_exponential,32,2600
dynamic_exponential,33,2500
dynamic_exponential,34,3400
dynamic_exponential,35,3300
dynamic_exponential,36,5400
dynamic_exponential,37,2700
dynamic_exponential,38,4400
dynamic_exponential,39,3300
dynamic_exponential,40,4000
dynamic_exponential,41,3800
dynamic_exponential,42,3800
dynamic_exponential,43,2800
dynamic_exponential,44,5300
dynamic_exponential,45,3500
dynamic_exponential,46,3900
dynamic_exponential,47,2600
dynamic_exponential,48,3400
dynamic_exponential,49,3000
random_search,30,
random_search,31,
random_search,32,
random_search,33,
random_search,34,
random_search,35,
random_search,36,
random_search,37,
random_search,38,
random_search,39,
random_search,40,
random_search,41,
random_search,42,
random_search,43,
random_search,44,
random_search,45,
random_search,46,
random_search,47,
random_search,48,
random_search,49,
