condition,seed,target,distance
dynamic_constant,30,target_00,11.5
dynamic_constant,30,target_01,11.5
dynamic_constant,30,target_02,12.0
dynamic_constant,30,target_03,12.0
dynamic_constant,30,target_04,13.0
dynamic_constant,31,target_00,10.0
dynamic_constant,31,target_01,11.0
dynamic_constant,31,target_02,9.0
dynamic_constant,31,target_03,11.5
dynamic_constant,31,target_04,14.0
dynamic_constant,32,target_00,11.5
dynamic_constant,32,target_01,11.5
dynamic_constant,32,target_02,11.0
dynamic_constant,32,target_03,12.5
dynamic_constant,32,target_04,12.5
dynamic_constant,33,target_00,10.0
dynamic_constant,33,target_01,9.5
dynamic_constant,33,target_02,10.5
dynamic_constant,33,target_03,13.0
dynamic_constant,33,target_04,14.0
dynamic_constant,34,target_00,9.0
dynamic_constant,34,target_01,10.0
dynamic_constant,34,target_02,9.5
dynamic_constant,34,target_03,13.0
dynamic_constant,34,target_04,14.5
dynamic_constant,35,target_00,12.0
dynamic_constant,35,target_01,10.5
dynamic_constant,35,target_02,10.5
dynamic_constant,35,target_03,12.0
dynamic_constant,35,target_04,13.0
dynamic_constant,36,target_00,10.0
dynamic_constant,36,target_01,11.5
dynamic_constant,36,target_02,11.0
dynamic_constant,36,target_03,12.0
dynamic_constant,36,target_04,13.5
dynamic_constant,37,target_00,10.5
dynamic_constant,37,target_01,11.0
dynamic_constant,37,target_02,12.0
dynamic_constant,37,target_03,12.0
dynamic_constant,37,target_04,13.0
dynamic_constant,38,target_00,12.0
dynamic_constant,38,target_01,12.5
dynamic_constant,38,target_02,11.5
dynamic_constant,38,target_03,12.5
dynamic_constant,38,target_04,12.5
dynamic_constant,39,target_00,10.5
dynamic_constant,39,target_01,12.0
dynamic_constant,39,target_02,11.5
dynamic_constant,39,target_03,12.0
dynamic_constant,39,target_04,12.0
dynamic_constant,40,target_00,11.0
dynamic_constant,40,target_01,10.5
dynamic_constant,40,target_02,12.0
dynamic_constant,40,target_03,12.0
dynamic_constant,40,target_04,13.0
dynamic_constant,41,target_00,11.5
dynamic_constant,41,target_01,10.5
dynamic_constant,41,target_02,10.0
dynamic_constant,41,target_03,13.0
dynamic_constant,41,target_04,13.0
dynamic_constant,42,target_00,10.0
dynamic_constant,42,target_01,11.5
dynamic_constant,42,target_02,11.5
dynamic_constant,42,target_03,12.0
dynamic_constant,42,target_04,13.0
dynamic_constant,43,target_00,11.5
dynamic_constant,43,target_01,12.0
dynamic_constant,43,target_02,10.5
dynamic_constant,43,target_03,12.5
dynamic_constant,43,target_04,13.0
dynamic_constant,44,target_00,11.0
dynamic_constant,44,target_01,11.0
dynamic_constant,44,target_02,10.5
dynamic_constant,44,target_03,12.5
dynamic_constant,44,target_04,13.0
dynamic_constant,45,target_00,11.0
dynamic_constant,45,target_01,12.0
dynamic_constant,45,target_02,12.0
dynamic_constant,45,target_03,12.0
dynamic_constant,45,target_04,13.0
dynamic_constant,46,target_00,12.0
dynamic_constant,46,target_01,11.5
dynamic_constant,46,target_02,12.0
dynamic_constant,46,target_03,11.5
dynamic_constant,46,target_04,13.5
dynamic_constant,47,target_00,11.0
dynamic_constant,47,target_01,11.5
dynamic_constant,47,target_02,12.0
