condition,seed,generation,cumulative_evals,mean_module_count,std_module_count
dynamic_constant,30,0,100,21.0,0.0
dynamic_constant,30,1,200,20.95,5.385861119635374
dynamic_constant,30,2,300,16.79,6.025437743434082
dynamic_constant,30,3,400,13.23,5.469652639793499
dynamic_constant,30,4,500,10.84,4.07852914664098
dynamic_constant,30,5,600,9.87,3.4107330590358433
dynamic_constant,30,6,700,10.6,3.1559467676119004
dynamic_constant,30,7,800,10.61,2.870174210740526
dynamic_constant,30,8,900,11.17,3.2925825729964617
dynamic_constant,30,9,1000,11.94,3.4024109099284288
dynamic_constant,30,10,1100,10.95,3.439113257803529
dynamic_constant,30,11,1200,11.46,4.389578567470914
dynamic_constant,30,12,1300,11.2,3.695943722515266
dynamic_constant,30,13,1400,12.0,3.2649655434629015
dynamic_constant,30,14,1500,11.59,3.0629887365121014
dynamic_constant,30,15,1600,11.85,2.5666125535421194
dynamic_constant,30,16,1700,11.05,3.1729323976410218
dynamic_constant,30,17,1800,11.02,2.8600000000000003
dynamic_constant,30,18,1900,11.01,2.714755974300453
dynamic_constant,30,19,2000,11.22,2.9549280871114276
dynamic_constant,30,20,2100,11.17,2.932763202169585
dynamic_constant,30,21,2200,11.32,2.6641321288554742
dynamic_constant,30,22,2300,11.54,3.281524036175875
dynamic_constant,30,23,2400,11.47,3.371809603165635
dynamic_constant,30,24,2500,11.16,2.5562472493872734
dynamic_constant,30,25,2600,11.25,3.207413287993925
dynamic_constant,30,26,2700,10.78,3.1609492245210142
dynamic_constant,30,27,2800,10.79,3.2133938445201515
dynamic_constant,30,28,2900,11.2,3.458323293158116
dynamic_constant,30,29,3000,11.33,3.7790342681695805
dynamic_constant,30,30,3100,11.9,3.459768778401239
dynamic_constant,30,31,3200,11.58,3.412271970403297
dynamic_constant,30,32,3300,11.31,3.8123352423416286
dynamic_constant,30,33,3400,10.96,3.2184468303826304
dynamic_constant,30,34,3500,11.37,3.460216756216292
dynamic_constant,30,35,3600,11.94,3.3009695545399986
dynamic_constant,30,36,3700,11.42,3.4703890271841282
dynamic_constant,30,37,3800,11.43,2.8609613768801565
dynamic_constant,30,38,3900,10.79,2.8046211865419544
dynamic_constant,30,39,4000,10.71,2.9876244743943303
dynamic_constant,30,40,4100,11.3,3.266496594212215
dynamic_constant,30,41,4200,11.45,2.8438530201119745
dynamic_constant,30,42,4300,11.82,3.2538592471095
dynamic_constant,30,43,4400,11.77,3.5912532631380927
dynamic_constant,30,44,4500,11.57,2.8293285422516767
dynamic_constant,30,45,4600,11.67,2.7241695982445733
dynamic_constant,30,46,4700,11.45,3.191786333700926
dynamic_constant,30,47,4800,11.42,3.6060504710832877
dynamic_constant,30,48,4900,10.98,3.7894062859503466
dynamic_constant,30,49,5000,11.83,3.3378286355054243
dynamic_constant,30,50,5100,11.76,3.21284920281049
dynamic_constant,30,51,5200,11.99,3.874261219897285
dynamic_constant,30,52,5300,11.77,4.413286757055335
dynamic_constant,30,53,5400,11.59,3.569579807204204
dynamic_constant,30,54,5500,11.21,2.9130568137267767
dynamic_constant,30,55,5600,11.72,3.7096630574757055
dynamic_constant,30,56,5700,11.69,3.460332353979889
dynamic_constant,30,57,5800,11.67,3.786964483593687
dynamic_constant,30,58,5900,11.73,3.635532973306664
dynamic_constant,30,59,6000,11.71,3.16004746799791
dynamic_constant,30,60,6100,11.87,3.3724027043044553
dynamic_constant,30,61,6200,12.0,2.8879058156387303
dynamic_constant,30,62,6300,11.92,2.92123261655076
dynamic_constant,30,63,6400,12.33,3.3198042110943837
dynamic_constant,30,64,6500,12.18,3.3417959243496598
dynamic_constant,30,65,6600,12.0,3.2984845004941286
dynamic_constant,30,66,6700,12.21,3.683191550815678
dynamic_constant,30,67,6800,11.97,3.6289254607941452
dynamic_constant,30,68,6900,11.94,4.0836748156531755
dynamic_constant,30,69,7000,11.54,3.8116138314367576
dynamic_constant,30,70,7100,11.6,3.6742346141747673
