schedule_index,offspring_generation,exponential_probability,constant_probability
0,1,0.8,0.43418063336559626
1,2,0.777683793143144,0.43418063336559626
2,3,0.7559901026468854,0.43418063336559626
3,4,0.7349015632563808,0.43418063336559626
4,5,0.7144012941250604,0.43418063336559626
5,6,0.6944728853019347,0.43418063336559626
6,7,0.6751003845958402,0.43418063336559626
7,8,0.6562682848061104,0.43418063336559626
8,9,0.6379615113094513,0.43418063336559626
9,10,0.6201654099930836,0.43418063336559626
10,11,0.6028657355244927,0.43418063336559626
11,12,0.5860486399483986,0.43418063336559626
12,13,0.5697006616018142,0.43418063336559626
13,14,0.5538087143383218,0.43418063336559626
14,15,0.5383600770529425,0.43418063336559626
15,16,0.5233423834992095,0.43418063336559626
16,17,0.5087436123902989,0.43418063336559626
17,18,0.49455207777629123,0.43418063336559626
18,19,0.4807564196898616,0.43418063336559626
19,20,0.46734559505291107,0.43418063336559626
20,21,0.4543088688368595,0.43418063336559626
21,22,0.441635805469525,0.43418063336559626
22,23,0.4293162604817098,0.43418063336559626
23,24,0.41734037238680755,0.43418063336559626
24,25,0.40569855478693095,0.43418063336559626
25,26,0.39438148869924006,0.43418063336559626
26,27,0.3833801150963312,0.43418063336559626
27,28,0.37268562765471247,0.43418063336559626
28,29,0.3622894657055627,0.43418063336559626
29,30,0.3521833073821312,0.43418063336559626
30,31,0.342359062958292,0.43418063336559626
31,32,0.3328088683729212,0.43418063336559626
32,33,0.32352507893491333,0.43418063336559626
33,34,0.3145002632037981,0.43418063336559626
34,35,0.3057271970410585,0.43418063336559626
35,36,0.2971988578273897,0.43418063336559626
36,37,0.28890841884126794,0.43418063336559626
37,38,0.2808492437943318,0.43418063336559626
38,39,0.27301488151919945,0.43418063336559626
39,40,0.26539906080547127,0.43418063336559626
40,41,0.2579956853797835,0.43418063336559626
41,42,0.25079882902589395,0.43418063336559626
42,43,0.24380273084089513,0.43418063336559626
43,44,0.23700179062375534,0.43418063336559626
44,45,0.23039056439249905,0.43418063336559626
45,46,0.22396376002643553,0.43418063336559626
46,47,0.21771623302994902,0.43418063336559626
47,48,0.21164298241445928,0.43418063336559626
48,49,0.2057391466952555,0.43418063336559626
49,50,0.2,0.43418063336559626
