condition,seed,evals_to_reach_13.547
dynamic_constant,0,4200
dynamic_constant,1,1200
dynamic_constant,2,2800
dynamic_constant,3,2400
dynamic_constant,4,2600
dynamic_constant,5,1300
dynamic_constant,6,1100
dynamic_constant,7,3700
dynamic_constant,8,1900
dynamic_constant,9,1800
dynamic_constant,10,1900
dynamic_constant,11,2100
dynamic_constant,12,1300
dynamic_constant,13,1800
dynamic_constant,14,1700
dynamic_constant,15,1200
dynamic_constant,16,1400
dynamic_constant,17,3300
dynamic_constant,18,3100
dynamic_constant,19,3900
dynamic_exponential,0,2700
dynamic_exponential,1,1900
dynamic_exponential,2,1700
dynamic_exponential,3,1900
dynamic_exponential,4,1200
dynamic_exponential,5,2400
dynamic_exponential,6,800
dynamic_exponential,7,1600
dynamic_exponential,8,1500
dynamic_exponential,9,1800
dynamic_exponential,10,3700
dynamic_exponential,11,2500
dynamic_exponential,12,1700
dynamic_exponential,13,2600
dynamic_exponential,14,1700
dynamic_exponential,15,1200
dynamic_exponential,16,2400
dynamic_exponential,17,3200
dynamic_exponential,18,2600
dynamic_exponential,19,2300
random_search,0,
random_search,1,
random_search,2,
random_search,3,
random_search,4,
random_search,5,
random_search,6,
random_search,7,
random_search,8,
random_search,9,
random_search,10,
random_search,11,
random_search,12,
random_search,13,
random_search,14,
random_search,15,
random_search,16,
random_search,17,
random_search,18,
random_search,19,
