condition,seed,target,distance
dynamic_constant,0,target_00,11.5
dynamic_constant,0,target_01,13.0
dynamic_constant,0,target_02,11.0
dynamic_constant,0,target_03,12.5
dynamic_constant,0,target_04,14.0
dynamic_constant,1,target_00,12.0
dynamic_constant,1,target_01,11.5
dynamic_constant,1,target_02,11.5
dynamic_constant,1,target_03,13.5
dynamic_constant,1,target_04,12.5
dynamic_constant,2,target_00,11.0
dynamic_constant,2,target_01,10.5
dynamic_constant,2,target_02,10.5
dynamic_constant,2,target_03,12.5
dynamic_constant,2,target_04,13.5
dynamic_constant,3,target_00,10.0
dynamic_constant,3,target_01,10.5
dynamic_constant,3,target_02,12.0
dynamic_constant,3,target_03,12.0
dynamic_constant,3,target_04,13.5
dynamic_constant,4,target_00,12.0
dynamic_constant,4,target_01,11.5
dynamic_constant,4,target_02,12.0
dynamic_constant,4,target_03,13.0
dynamic_constant,4,target_04,12.0
dynamic_constant,5,target_00,11.5
dynamic_constant,5,target_01,11.5
dynamic_constant,5,target_02,12.5
dynamic_constant,5,target_03,13.0
dynamic_constant,5,target_04,12.5
dynamic_constant,6,target_00,9.5
dynamic_constant,6,target_01,9.0
dynamic_constant,6,target_02,11.5
dynamic_constant,6,target_03,11.0
dynamic_constant,6,target_04,14.0
dynamic_constant,7,target_00,9.5
dynamic_constant,7,target_01,10.0
dynamic_constant,7,target_02,11.5
dynamic_constant,7,target_03,12.0
dynamic_constant,7,target_04,14.0
dynamic_constant,8,target_00,9.0
dynamic_constant,8,target_01,10.5
dynamic_constant,8,target_02,9.5
dynamic_constant,8,target_03,11.5
dynamic_constant,8,target_04,14.0
dynamic_constant,9,target_00,10.0
dynamic_constant,9,target_01,12.0
dynamic_constant,9,target_02,10.5
dynamic_constant,9,target_03,11.5
dynamic_constant,9,target_04,13.5
dynamic_constant,10,target_00,13.0
dynamic_constant,10,target_01,11.5
dynamic_constant,10,target_02,12.0
dynamic_constant,10,target_03,13.0
dynamic_constant,10,target_04,12.5
dynamic_constant,11,target_00,12.0
dynamic_constant,11,target_01,12.0
dynamic_constant,11,target_02,11.5
dynamic_constant,11,target_03,13.5
dynamic_constant,11,target_04,12.0
dynamic_constant,12,target_00,10.5
dynamic_constant,12,target_01,10.5
dynamic_constant,12,target_02,12.0
dynamic_constant,12,target_03,11.5
dynamic_constant,12,target_04,13.0
dynamic_constant,13,target_00,11.0
dynamic_constant,13,target_01,11.5
dynamic_constant,13,target_02,13.0
dynamic_constant,13,target_03,13.0
dynamic_constant,13,target_04,12.5
dynamic_constant,14,target_00,10.0
dynamic_constant,14,target_01,10.5
dynamic_constant,14,target_02,10.5
dynamic_constant,14,target_03,13.5
dynamic_constant,14,target_04,13.5
dynamic_constant,15,target_00,11.0
dynamic_constant,15,target_01,11.5
dynamic_constant,15,target_02,11.5
dynamic_constant,15,target_03,11.5
dynamic_constant,15,target_04,13.5
dynamic_constant,16,target_00,10.5
dynamic_constant,16,target_01,9.5
dynamic_constant,16,target_02,11.0
dynamic_constant,16,target_03,11.5
dynamic_constant,16,target_04,14.0
dynamic_constant,17,target_00,10.5
dynamic_constant,17,target_01,9.5
dynamic_constant,17,target_02,10.5
dynamic_constant,17,target_03,12.5
dynamic_constant,17,target_04,14.0
dynamic_constant,18,target_00,11.0
dynamic_constant,18,target_01,11.5
dynamic_constant,18,target_02,12.0
dynamic_constant,18,target_03,13.5
dynamic_constant,18,target_04,13.0
dynamic_constant,19,target_00,11.5
dynamic_constant,19,target_01,12.0
dynamic_constant,19,target_02,12.0
dynamic_constant,19,target_03,13.0
dynamic_constant,19,target_04,14.0
dynamic_exponential,0,target_00,10.5
dynamic_exponential,0,target_01,10.5
dynamic_exponential,0,target_02,11.0
dynamic_exponential,0,target_03,11.0
dynamic_exponential,0,target_04,14.5
dynamic_exponential,1,target_00,12.0
dynamic_exponential,1,target_01,12.0
dynamic_exponential,1,target_02,11.0
dynamic_exponential,1,target_03,13.5
dynamic_exponential,1,target_04,13.0
dynamic_exponential,2,target_00,9.0
dynamic_exponential,2,target_01,10.0
dynamic_exponential,2,target_02,11.0
dynamic_exponential,2,target_03,10.5
dynamic_exponential,2,target_04,14.5
dynamic_exponential,3,target_00,8.5
dynamic_exponential,3,target_01,10.5
dynamic_exponential,3,target_02,10.5
dynamic_exponential,3,target_03,12.0
dynamic_exponential,3,target_04,13.5
dynamic_exponential,4,target_00,10.5
dynamic_exponential,4,target_01,9.5
dynamic_exponential,4,target_02,11.0
dynamic_exponential,4,target_03,13.0
dynamic_exponential,4,target_04,14.0
dynamic_exponential,5,target_00,11.5
dynamic_exponential,5,target_01,12.5
dynamic_exponential,5,target_02,11.0
dynamic_exponential,5,target_03,13.0
dynamic_exponential,5,target_04,12.0
dynamic_exponential,6,target_00,11.0
dynamic_exponential,6,target_01,10.5
dynamic_exponential,6,target_02,12.0
dynamic_exponential,6,target_03,11.0
dynamic_exponential,6,target_04,13.0
dynamic_exponential,7,target_00,10.5
dynamic_exponential,7,target_01,10.5
dynamic_exponential,7,target_02,11.0
dynamic_exponential,7,target_03,12.0
dynamic_exponential,7,target_04,13.0
dynamic_exponential,8,target_00,11.0
dynamic_exponential,8,target_01,12.5
dynamic_exponential,8,target_02,12.0
dynamic_exponential,8,target_03,12.0
dynamic_exponential,8,target_04,12.5
dynamic_exponential,9,target_00,11.0
dynamic_exponential,9,target_01,11.5
dynamic_exponential,9,target_02,11.0
dynamic_exponential,9,target_03,12.5
dynamic_exponential,9,target_04,12.5
dynamic_exponential,10,target_00,11.5
dynamic_exponential,10,target_01,11.0
dynamic_exponential,10,target_02,11.5
dynamic_exponential,10,target_03,12.5
dynamic_exponential,10,target_04,14.0
dynamic_exponential,11,target_00,11.0
dynamic_exponential,11,target_01,11.5
dynamic_exponential,11,target_02,11.0
dynamic_exponential,11,target_03,13.0
dynamic_exponential,11,target_04,13.5
dynamic_exponential,12,target_00,10.5
dynamic_exponential,12,target_01,11.5
dynamic_exponential,12,target_02,11.0
dynamic_exponential,12,target_03,12.0
dynamic_exponential,12,target_04,14.5
dynamic_exponential,13,target_00,11.0
dynamic_exponential,13,target_01,9.5
dynamic_exponential,13,target_02,12.0
dynamic_exponential,13,target_03,12.5
dynamic_exponential,13,target_04,13.5
dynamic_exponential,14,target_00,11.5
dynamic_exponential,14,target_01,11.0
dynamic_exponential,14,target_02,13.5
dynamic_exponential,14,target_03,11.5
dynamic_exponential,14,target_04,13.0
dynamic_exponential,15,target_00,9.5
dynamic_exponential,15,target_01,8.5
dynamic_exponential,15,target_02,11.5
dynamic_exponential,15,target_03,10.5
dynamic_exponential,15,target_04,14.0
dynamic_exponential,16,target_00,11.5
dynamic_exponential,16,target_01,12.0
dynamic_exponential,16,target_02,10.5
dynamic_exponential,16,target_03,13.5
dynamic_exponential,16,target_04,13.5
dynamic_exponential,17,target_00,12.5
dynamic_exponential,17,target_01,13.0
dynamic_exponential,17,target_02,11.5
dynamic_exponential,17,target_03,12.5
dynamic_exponential,17,target_04,13.5
dynamic_exponential,18,target_00,9.5
dynamic_exponential,18,target_01,10.0
dynamic_exponential,18,target_02,12.0
dynamic_exponential,18,target_03,11.5
dynamic_exponential,18,target_04,13.5
dynamic_exponential,19,target_00,10.0
dynamic_exponential,19,target_01,10.0
dynamic_exponential,19,target_02,11.0
dynamic_exponential,19,target_03,11.0
dynamic_exponential,19,target_04,14.5
random_search,0,target_00,16.0
random_search,0,target_01,16.5
random_search,0,target_02,15.5
random_search,0,target_03,17.0
random_search,0,target_04,15.5
random_search,1,target_00,16.0
random_search,1,target_01,16.5
random_search,1,target_02,15.5
random_search,1,target_03,17.5
random_search,1,target_04,16.0
random_search,2,target_00,16.0
random_search,2,target_01,15.5
random_search,2,target_02,15.5
random_search,2,target_03,17.0
random_search,2,target_04,17.5
random_search,3,target_00,16.5
random_search,3,target_01,16.0
random_search,3,target_02,15.5
random_search,3,target_03,17.5
random_search,3,target_04,17.0
random_search,4,target_00,17.5
random_search,4,target_01,16.0
random_search,4,target_02,17.0
random_search,4,target_03,17.0
random_search,4,target_04,16.5
random_search,5,target_00,16.5
random_search,5,target_01,17.5
random_search,5,target_02,15.0
random_search,5,target_03,17.0
random_search,5,target_04,17.0
random_search,6,target_00,16.0
random_search,6,target_01,17.0
random_search,6,target_02,17.0
random_search,6,target_03,16.5
random_search,6,target_04,17.5
random_search,7,target_00,14.5
random_search,7,target_01,16.0
random_search,7,target_02,16.0
random_search,7,target_03,16.5
random_search,7,target_04,15.5
random_search,8,target_00,15.5
random_search,8,target_01,16.5
random_search,8,target_02,16.0
random_search,8,target_03,17.0
random_search,8,target_04,17.5
random_search,9,target_00,16.0
random_search,9,target_01,18.0
random_search,9,target_02,15.5
random_search,9,target_03,16.0
random_search,9,target_04,16.0
random_search,10,target_00,16.5
random_search,10,target_01,16.0
random_search,10,target_02,15.5
random_search,10,target_03,15.5
random_search,10,target_04,17.5
random_search,11,target_00,16.5
random_search,11,target_01,15.5
random_search,11,target_02,17.0
random_search,11,target_03,16.0
random_search,11,target_04,17.0
random_search,12,target_00,16.5
random_search,12,target_01,16.5
random_search,12,target_02,15.0
random_search,12,target_03,16.5
random_search,12,target_04,17.5
random_search,13,target_00,16.0
random_search,13,target_01,15.0
random_search,13,target_02,17.5
random_search,13,target_03,17.0
random_search,13,target_04,16.5
random_search,14,target_00,14.5
random_search,14,target_01,14.5
random_search,14,target_02,15.0
random_search,14,target_03,17.0
random_search,14,target_04,18.0
random_search,15,target_00,16.5
random_search,15,target_01,16.5
random_search,15,target_02,16.5
random_search,15,target_03,15.0
random_search,15,target_04,17.5
random_search,16,target_00,16.0
random_search,16,target_01,15.0
random_search,16,target_02,16.0
random_search,16,target_03,17.0
random_search,16,target_04,17.5
random_search,17,target_00,16.5
random_search,17,target_01,15.5
random_search,17,target_02,16.0
random_search,17,target_03,16.0
random_search,17,target_04,18.0
random_search,18,target_00,16.0
random_search,18,target_01,17.0
random_search,18,target_02,17.5
random_search,18,target_03,16.5
random_search,18,target_04,15.0
random_search,19,target_00,17.0
random_search,19,target_01,15.0
random_search,19,target_02,16.0
random_search,19,target_03,17.0
random_search,19,target_04,17.0
