condition,seed,generation,cumulative_evals,mean_module_count,std_module_count
dynamic_constant,0,0,100,21.0,0.0
dynamic_constant,0,1,200,20.22,4.46448205282539
dynamic_constant,0,2,300,16.55,5.620275793944635
dynamic_constant,0,3,400,12.48,5.454319389254722
dynamic_constant,0,4,500,10.08,3.8332231868233295
dynamic_constant,0,5,600,9.86,3.334726375581661
dynamic_constant,0,6,700,9.07,2.5229149807316142
dynamic_constant,0,7,800,9.3,2.7622454633866265
dynamic_constant,0,8,900,9.92,2.625566605515846
dynamic_constant,0,9,1000,10.35,2.9064583258667236
dynamic_constant,0,10,1100,10.45,2.597595041572108
dynamic_constant,0,11,1200,10.8,2.771281292110204
dynamic_constant,0,12,1300,10.89,2.4449744374941837
dynamic_constant,0,13,1400,11.34,3.680271729098274
dynamic_constant,0,14,1500,10.66,3.332326514614076
dynamic_constant,0,15,1600,10.07,2.8434310260669244
dynamic_constant,0,16,1700,10.39,2.8736562076908228
dynamic_constant,0,17,1800,10.85,2.5194245374688244
dynamic_constant,0,18,1900,10.62,3.1265955926534534
dynamic_constant,0,19,2000,10.69,3.2793139526431445
dynamic_constant,0,20,2100,10.54,3.769403135776273
dynamic_constant,0,21,2200,11.12,3.308413517080355
dynamic_constant,0,22,2300,11.41,3.4324772395458063
dynamic_constant,0,23,2400,11.13,3.330630570927974
dynamic_constant,0,24,2500,11.0,3.1749015732775088
dynamic_constant,0,25,2600,11.01,3.0512128735963344
dynamic_constant,0,26,2700,11.03,3.0379433832775753
dynamic_constant,0,27,2800,10.68,2.9593242471888748
dynamic_constant,0,28,2900,10.74,3.1988122795812823
dynamic_constant,0,29,3000,11.48,2.837181700208853
dynamic_constant,0,30,3100,11.01,2.7622273621119606
dynamic_constant,0,31,3200,11.18,2.8926804178823486
dynamic_constant,0,32,3300,11.07,3.438764312947312
dynamic_constant,0,33,3400,11.51,3.330150146765157
dynamic_constant,0,34,3500,11.27,3.449217302519515
dynamic_constant,0,35,3600,11.39,3.120560847027342
