schedule_index,offspring_generation,exponential_probability,constant_probability
0,1,0.8,0.18489397506306005
1,2,0.7315624670718992,0.18489397506306005
2,3,0.6689795540354045,0.18489397506306005
3,4,0.6117504162134993,0.18489397506306005
4,5,0.559417054646761,0.18489397506306005
5,6,0.5115606507743498,0.18489397506306005
6,7,0.467798214671737,0.18489397506306005
7,8,0.42777952002135733,0.18489397506306005
8,9,0.3911843012870713,0.18489397506306005
9,10,0.3577196906617087,0.18489397506306005
10,11,0.3271178742758454,0.18489397506306005
11,12,0.29913394891069095,0.18489397506306005
12,13,0.2735439620625807,0.18489397506306005
13,14,0.25014311967390435,0.18489397506306005
14,15,0.22874414718712854,0.18489397506306005
15,16,0.2091757908055917,0.18489397506306005
16,17,0.19128144696681773,0.18489397506306005
17,18,0.17491790906015978,0.18489397506306005
18,19,0.1599542213588857,0.18489397506306005
19,20,0.14627063099483892,0.18489397506306005
20,21,0.1337576295884347,0.18489397506306005
21,22,0.12231507686425569,0.18489397506306005
22,23,0.11185139923862984,0.18489397506306005
23,24,0.10228285696556999,0.18489397506306005
24,25,0.09353287397611822,0.18489397506306005
25,26,0.08553142504786759,0.18489397506306005
26,27,0.07821447540024155,0.18489397506306005
27,28,0.07152346823066888,0.18489397506306005
28,29,0.06540485609045842,0.18489397506306005
29,30,0.05980967235002285,0.18489397506306005
30,31,0.05469313932393083,0.18489397506306005
31,32,0.050014309919652424,0.18489397506306005
32,33,0.045735739942149384,0.18489397506306005
33,34,0.041823188431797,0.18489397506306005
34,35,0.0382453436374729,0.18489397506306005
35,36,0.034973572431802796,0.18489397506306005
36,37,0.03198169116315926,0.18489397506306005
37,38,0.029245756110565447,0.18489397506306005
38,39,0.026743871864535414,0.18489397506306005
39,40,0.024456016100342846,0.18489397506306005
40,41,0.022363879341396123,0.18489397506306005
41,42,0.02045071843036253,0.18489397506306005
42,43,0.01870122253538597,0.18489397506306005
43,44,0.017101390619059447,0.18489397506306005
44,45,0.015638419389549203,0.18489397506306005
45,46,0.014300600837154545,0.18489397506306005
46,47,0.013077228536299057,0.18489397506306005
47,48,0.01195851196309748,0.18489397506306005
48,49,0.010935498142790514,0.18489397506306005
49,50,0.01,0.18489397506306005
