condition,seed,evals_to_reach_13.442
dynamic_constant,0,1500
dynamic_constant,1,2500
dynamic_constant,2,2300
dynamic_constant,3,1000
dynamic_constant,4,3700
dynamic_constant,5,1000
dynamic_constant,6,2400
dynamic_constant,7,800
dynamic_constant,8,2000
dynamic_constant,9,2200
dynamic_constant,10,2100
dynamic_constant,11,3300
dynamic_constant,12,1500
dynamic_constant,13,1300
dynamic_constant,14,2300
dynamic_constant,15,1800
dynamic_constant,16,3300
dynamic_constant,17,1900
dynamic_constant,18,1600
dynamic_constant,19,1500
dynamic_exponential,0,1300
dynamic_exponential,1,1600
dynamic_exponential,2,3500
dynamic_exponential,3,3100
dynamic_exponential,4,
dynamic_exponential,5,2900
dynamic_exponential,6,1200
dynamic_exponential,7,2100
dynamic_exponential,8,
dynamic_exponential,9,1000
dynamic_exponential,10,700
dynamic_exponential,11,1900
dynamic_exponential,12,2400
dynamic_exponential,13,1900
dynamic_exponential,14,1900
dynamic_exponential,15,1500
dynamic_exponential,16,3200
dynamic_exponential,17,
dynamic_exponential,18,1300
dynamic_exponential,19,1400
random_search,0,
random_search,1,
random_search,2,
random_search,3,
random_search,4,
random_search,5,
random_search,6,
random_search,7,
random_search,8,
random_search,9,
random_search,10,
random_search,11,
random_search,12,
random_search,13,
random_search,14,
random_search,15,
random_search,16,
random_search,17,
random_search,18,
random_search,19,
