condition,seed,generation,cumulative_evals,mean_module_count,std_module_count
dynamic_constant,0,0,100,21.0,0.0
dynamic_constant,0,1,200,20.93,3.9956351184761605
dynamic_constant,0,2,300,17.86,6.491563756137653
dynamic_constant,0,3,400,13.82,5.865799178287644
dynamic_constant,0,4,500,11.72,4.181100333644243
dynamic_constant,0,5,600,11.34,4.030434219783273
dynamic_constant,0,6,700,11.22,3.5597190900406734
dynamic_constant,0,7,800,11.05,3.099596747965774
dynamic_constant,0,8,900,11.36,3.201624587611733
dynamic_constant,0,9,1000,11.85,3.374537005279391
dynamic_constant,0,10,1100,12.15,3.6779749863205975
dynamic_constant,0,11,1200,12.28,3.298727027203069
dynamic_constant,0,12,1300,12.5,3.7429934544425802
dynamic_constant,0,13,1400,12.16,3.933751390212655
dynamic_constant,0,14,1500,12.22,3.3453848806975857
dynamic_constant,0,15,1600,11.84,3.0322269044383865
dynamic_constant,0,16,1700,12.44,3.8401041652538543
dynamic_constant,0,17,1800,12.72,3.600222215363935
dynamic_constant,0,18,1900,13.09,3.8212432531834453
dynamic_constant,0,19,2000,12.7,3.517101079013795
dynamic_constant,0,20,2100,12.14,3.5637620571525255
dynamic_constant,0,21,2200,12.33,3.0001833277318237
dynamic_constant,0,22,2300,12.65,2.7290108097990378
dynamic_constant,0,23,2400,12.31,3.2884494826589634
dynamic_constant,0,24,2500,12.16,3.4805746651953897
dynamic_constant,0,25,2600,12.09,3.385542792522345
dynamic_constant,0,26,2700,11.8,3.0854497241083028
dynamic_constant,0,27,2800,12.12,3.2993332659796586
dynamic_constant,0,28,2900,12.17,3.622305895420761
dynamic_constant,0,29,3000,12.26,3.2515227202035666
dynamic_constant,0,30,3100,11.79,2.624099845661365
dynamic_constant,0,31,3200,12.1,3.10322412983658
dynamic_constant,0,32,3300,12.18,2.9945951312322667
dynamic_constant,0,33,3400,12.1,3.3241540277189316
dynamic_constant,0,34,3500,11.92,3.2177010426700607
dynamic_constant,0,35,3600,11.84,3.2763394207560363
dynamic_constant,0,36,3700,11.95,3.795721275330948
dynamic_constant,0,37,3800,12.06,3.303997578691606
dynamic_constant,0,38,3900,11.81,3.306644825196683
dynamic_constant,0,39,4000,11.84,3.50633712012978
dynamic_constant,0,40,4100,11.98,3.492792579011814
dynamic_constant,0,41,4200,12.07,3.0372849718128196
dynamic_constant,0,42,4300,12.48,3.5762550244634395
dynamic_constant,0,43,4400,12.81,3.3096676570314423
dynamic_constant,0,44,4500,12.6,2.6457513110645907
dynamic_constant,0,45,4600,12.87,3.50900270732298
dynamic_constant,0,46,4700,12.27,3.4346906702059794
dynamic_constant,0,47,4800,12.22,2.9785231239659695
dynamic_constant,0,48,4900,12.53,3.2785820105649335
dynamic_constant,0,49,5000,12.85,3.380458548777074
dynamic_constant,0,50,5100,13.08,3.9209182597957843
dynamic_constant,1,0,100,21.0,0.0
dynamic_constant,1,1,200,20.79,4.617997401471768
dynamic_constant,1,2,300,16.99,6.212076947366316
dynamic_constant,1,3,400,13.14,4.975982315081113
dynamic_constant,1,4,500,10.37,3.804352770183123
dynamic_constant,1,5,600,9.81,2.8414608918653097
dynamic_constant,1,6,700,9.67,2.569260594023113
dynamic_constant,1,7,800,9.63,2.6178426232300516
dynamic_constant,1,8,900,9.67,2.4002291557265942
dynamic_constant,1,9,1000,10.17,2.6722836675772275
dynamic_constant,1,10,1100,10.21,2.8576038913747297
dynamic_constant,1,11,1200,10.49,2.840756941380237
dynamic_constant,1,12,1300,11.11,3.0590684856668378
dynamic_constant,1,13,1400,11.0,2.814249455894058
dynamic_constant,1,14,1500,11.61,3.1871460587804887
dynamic_constant,1,15,1600,11.2,2.7166155414412256
dynamic_constant,1,16,1700,11.26,3.2699235465068597
dynamic_constant,1,17,1800,11.41,3.117996151376714
dynamic_constant,1,18,1900,11.86,2.953032339816142
dynamic_constant,1,19,2000,11.45,2.624404694402142
dynamic_constant,1,20,2100,11.38,2.4608128738284836
dynamic_constant,1,21,2200,11.63,2.373415260758218
dynamic_constant,1,22,2300,11.34,2.684101339368542
dynamic_constant,1,23,2400,11.5,2.0024984394500787
dynamic_constant,1,24,2500,11.51,2.5826149538791103
dynamic_constant,1,25,2600,11.53,2.215648889151889
dynamic_constant,1,26,2700,11.81,2.4153467659944816
dynamic_constant,1,27,2800,11.87,2.143151884491624
dynamic_constant,1,28,2900,11.74,2.37747765499489
dynamic_constant,1,29,3000,12.27,2.3445895163119705
dynamic_constant,1,30,3100,12.18,2.6396211849430213
dynamic_constant,1,31,3200,12.0,2.353720459187964
dynamic_constant,1,32,3300,11.79,2.4669616940682317
dynamic_constant,1,33,3400,11.7,2.435159132377184
dynamic_constant,1,34,3500,12.07,2.4382575745806676
dynamic_constant,1,35,3600,12.18,2.4264377181374353
dynamic_constant,1,36,3700,12.15,2.5937424698685874
dynamic_constant,1,37,3800,11.67,2.735159958759268
dynamic_constant,1,38,3900,12.22,2.6705055701121463
dynamic_constant,1,39,4000,12.56,2.836617704238624
dynamic_constant,1,40,4100,11.89,2.6529040691287724
dynamic_constant,1,41,4200,11.49,2.447427220572657
dynamic_constant,1,42,4300,12.22,2.9071635660898063
dynamic_constant,1,43,4400,11.61,2.5135433157198626
dynamic_constant,1,44,4500,11.52,1.9873600579663464
dynamic_constant,1,45,4600,12.14,2.7785607785326563
dynamic_constant,1,46,4700,12.52,2.6437851652507622
dynamic_constant,1,47,4800,12.49,2.6324703227197075
